W-Zip 路径遍历漏洞|CNNVD-202202-087|2022-02-01|2022-02-28| |超危|路径遍历|W-Zip是一个 Zip 和 7Z 压缩工具。 w-zip 存在路径遍历漏洞，该漏洞源于1.0.12之前NPM w-zip中的路径遍历。|CVE-2022-0401| | | | | | | | 
MariaDB 代码问题漏洞|CNNVD-202202-003|2022-02-01|2022-09-14| |中危|代码问题|MariaDB是MariaDB（Mariadb）基金会的一套免费开源的数据库管理系统，也是一个采用Maria存储引擎的MySQL分支版本。 MariaDB 中存在代码问题漏洞，该漏洞源于产品允许通过某些SELECT语句导致ha_maria::extra崩溃。以下产品及版本受到影响：Mariadb 10.5.13版本。|CVE-2021-46663| | | | | | | | 
WordPress 路径遍历漏洞|CNNVD-202202-088|2022-02-01|2022-02-11| |超危|路径遍历|WordPress是WordPress（Wordpress）基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。 WordPress Elementor 插件存在路径遍历漏洞，该漏洞允许未经身份验证的攻击者可利用该漏洞执行本地文件包含攻击和读取服务器上的任意文件，这也可能导致RCE通过用户上传文件或其他LFI到RCE技术。|CVE-2022-0320| | | | | | | | 
WordPress plugin 跨站脚本漏洞|CNNVD-202202-055|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress plugin是WordPress开源的一个应用插件。 WordPress plugin Asset CleanUp: Page Speed Booster 1.3.8.5 之前版本存在跨站脚本漏洞，该漏洞源于在将wpacu_selected_sub_tab_area参数输出回管理页面的属性之前，不会对其进行转义。|CVE-2021-24937| | | | | | | | 
Anchor 跨站脚本漏洞|CNNVD-202202-082|2022-02-01|2022-02-09| |中危|跨站脚本|Anchor是一套开源的轻量级博客系统。 Anchor CMS v0.12.7存在跨站脚本漏洞，该漏洞允许攻击者可利用该漏洞执行任意web脚本或HTML。|CVE-2021-46253| | | | | | | | 
Google Chrome 资源管理错误漏洞|CNNVD-202202-027|2022-02-01|2022-04-11| |高危|资源管理错误|Google Chrome是美国谷歌（Google）公司的一款Web浏览器。 Google Chrome 存在资源管理错误漏洞，该漏洞源于Web搜索组件内的免费使用错误。远程攻击者可利用该漏洞可以创建一个特别制作的网页，诱骗受害者访问它，触发使用后免费错误，并在目标系统上执行任意代码。|CVE-2022-0456| | | | | | | | 
WordPress plugin跨站脚本漏洞|CNNVD-202202-059|2022-02-01|2022-03-05| |中危|跨站脚本|WordPress是Wordpress基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是WordPress开源的一个应用插件。 Asset CleanUp: Page Speed Booster WordPress plugin 1.3.8.5 之前版本存在跨站脚本漏洞，该漏洞源于没有对post参数进行转义，导致了一个反射型的跨站点脚本问题。|CVE-2021-24983| | | | | | | | 
iTunesRPC-Remastered 跨站脚本漏洞|CNNVD-202202-034|2022-02-01|2022-03-10| |超危|跨站脚本|iTunesRPC-Remastered是一个与 iTunes 和 Apple Music 一起使用的丰富的不和谐状态应用程序。 iTunesRPC-Remastered 存在安全漏洞，该漏洞源于用户输入没有被正确过滤从而导致代码注入。|CVE-2022-23603| | | | | | | | 
MariaDB 资源管理错误漏洞|CNNVD-202202-011|2022-02-01|2022-09-20| |高危|资源管理错误|MariaDB是MariaDB（Mariadb）基金会的一套免费开源的数据库管理系统，也是一个采用Maria存储引擎的MySQL分支版本。 MariaDB 中存在资源管理错误漏洞，该漏洞源于产品的convert_const_to_int函数在使用BIGINT数据类型时对已释放的资源重复利用。攻击者可通过该漏洞导致程序崩溃。以下产品及版本受到影响：MariaDB 10.5.9。|CVE-2021-46669| | | | | | | | 
Sourcecodester Simple Client Management System SQL注入漏洞|CNNVD-202202-090|2022-02-01|2022-02-11| |超危|SQL注入|Sourcecodester Simple Client Management System是一个简单的基于 Web 的应用程序，它提供了一个在线平台来管理公司客户的发票。 Sourcecodester Simple Client Management System 存在SQL注入漏洞，该漏洞源于通过view-service.php中的id参数，Sourcecodester Simple Client Management System 1.0存在SQL注入漏洞。|CVE-2021-43509| | | | | | | | 
